what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344695105769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695109340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695114288
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1344695114870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344695118887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695119254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695126435
opened,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.FileExplorerView",1344695127943
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1344695128048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695133464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695248960
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1344695248994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695249572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695275613
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344695276578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695277434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695278587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695279732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695279864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695280552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695314404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695315824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695315982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344695320533
