what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718163801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342718171450
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342718174437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718174760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718176274
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342718183209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718187365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718190714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718202608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718209106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342718213122
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1342718224806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342718238382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342718239477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342718245951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342718246929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342718248627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342718250954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718254852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718256710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342718259594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342718264342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342718265249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718272438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718275901
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342718276063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718279877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342718291722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342718309477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342718317714
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1342718324096
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1342718325929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342718326395
