what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1343738603744
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1343738608824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343738613944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343738627352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343738660951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343738668510
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343738670546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343738691580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343738702676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343738704190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343738705984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343738824973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343738841329
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343738841691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343738877090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343738881570
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343738881783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343738899811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343738970682
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343738973244
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1343738977940
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343738979299
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1343738996822
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1343738997538
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343739005987
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343739006203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343739006237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343739006307
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343739006334
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343739006438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343739016887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343739039875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343739046071
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343739055564
