what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133505799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133506533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133508156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133508989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133510677
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343133510716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133515002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133593080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133613196
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343133615304
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1343133618667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133622376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133838845
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343133839801
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1343133844888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343133845960
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343133846817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133856580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133857819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133858389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133866010
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343133866054
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343133933044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133939057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133939146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133939505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133980237
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343133980275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133983930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133987372
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343133989296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133992007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343133996614
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343133996652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134001106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134001254
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343134003224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134007098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134007941
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1343134007967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134008300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134009636
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343134009657
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1343134013044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134013053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134038247
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343134071612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134073841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134298027
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343134298647
opened,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.FileExplorerView",1343134300899
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.FileExplorerView",1343134300930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134301490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134361429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134377514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134382377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134384165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343134951243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343135007745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343135322529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343135325095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343135718692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343135767941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343135770524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343135774433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343135905753
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343135905856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343135909660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136147174
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343136147607
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343136158837
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343136159219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343136200441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136202150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136422384
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343136425870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136431074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136451073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136451840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136457425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136459681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136620127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343136630036
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343136636692
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343136638163
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343136645296
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343136650286
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343136654622
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1343136658679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136665688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136700071
started,bundle,com.android.ide.eclipse.ndk,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ndk",1343136700332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136708442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136713210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136715031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136779262
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1343136786805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343136788662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343137831199
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343137832458
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343137833550
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343137845105
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343137847612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343137862548
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343137864806
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1343137867868
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343137890179
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1343137896498
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1343137901774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343137923554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343137949406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343137952194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343138000556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343138006817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343138042951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343138117659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343138126720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343138138409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343138139855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343138141093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343138146524
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343138147587
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1343138150938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343138211512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343138494001
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343138494428
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1343138497324
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1343138497443
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343138499391
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1343138504349
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343138504762
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1343138542209
