what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193637650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193664802
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342193666104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1342193669623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342193680822
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342193683756
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1342193688834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193690948
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342193746055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193746068
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342193746119
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342193746169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193757011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193774072
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342193775336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342193838330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193840887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193845228
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342193845332
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1342193849215
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342193853117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193865047
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342193908903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193908916
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342193908987
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342193909045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193920938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193939913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193953627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193960569
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342193961676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342193981136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193981938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342193992341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342193994663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342193996056
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342193996909
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1342194004257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342194006798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342194021281
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342194021384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342194022438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342194059332
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342194059443
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342194078150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342194095684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342194097213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342194101051
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342194101156
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1342194107196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342194109142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342194169346
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342194169453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342194182069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342194198430
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342194199616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342194236401
