what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1344688964506
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1344688964524
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1344688964540
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1344688964555
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1344688964696
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1344688964761
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1344688964814
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1344688964814
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1344688964844
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1344688964882
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1344688964921
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1344688964935
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1344688964994
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1344688965034
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1344688965049
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1344688965072
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1344688965089
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1344688965138
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1344688965159
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1344688965159
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1344688965174
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1344688965196
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1344688965224
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1344688965244
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1344688965273
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1344688965297
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1344688965321
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1344688965354
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1344688965384
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1344688965440
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1344688965474
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1344688965490
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1344688965509
started,bundle,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.adt",1344688965509
started,bundle,com.android.ide.eclipse.base,20.0.0.v201206242043-391819,"com.android.ide.eclipse.base",1344688965510
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1344688965523
os,sysinfo,,,"win32",1344688965529
arch,sysinfo,,,"x86",1344688965529
ws,sysinfo,,,"win32",1344688965529
locale,sysinfo,,,"en_US",1344688965529
processors,sysinfo,,,"2",1344688965529
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344688965529
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1344688965529
java.specification.name,sysinfo,,,"Java Platform API Specification",1344688965529
java.specification.vendor,sysinfo,,,"Oracle Corporation",1344688965529
java.specification.version,sysinfo,,,"1.7",1344688965529
java.vendor,sysinfo,,,"Oracle Corporation",1344688965529
java.version,sysinfo,,,"1.7.0_03",1344688965529
java.vm.info,sysinfo,,,"mixed mode, sharing",1344688965529
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1344688965529
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344688965529
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1344688965529
java.vm.specification.version,sysinfo,,,"1.7",1344688965529
java.vm.vendor,sysinfo,,,"Oracle Corporation",1344688965529
java.vm.version,sysinfo,,,"22.1-b02",1344688965529
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1344688965557
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1344688966112
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1344688967215
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1344688967691
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1344688969118
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1344688970318
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1344688971214
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1344688972447
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1344688974057
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1344688974144
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1344688974147
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1344688974229
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1344688974518
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1344688980525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344688989770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689020272
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344689021643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689025621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689179584
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344689182877
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344689183113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689192770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689229497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689267194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689288709
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1344689289271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689300890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689329670
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1344689347884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1344689364227
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1344689366008
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1344689369619
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1344689369920
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1344689370306
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1344689370733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689370997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689371324
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344689377479
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1344689378063
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344689378345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689449634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689485338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689493698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689495517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344689496842
